iter	Passed	Remaining
617	9360	5785
618	9374	5770
619	9389	5755
620	9402	5738
621	9417	5723
622	9431	5707
623	9447	5692
624	9462	5677
625	9481	5664
626	9493	5647
627	9509	5633
628	9522	5616
629	9535	5599
630	9551	5585
631	9566	5570
632	9582	5555
633	9597	5540
634	9612	5525
635	9627	5510
636	9641	5494
637	9655	5478
638	9671	5463
639	9683	5446
640	9699	5432
641	9713	5416
642	9729	5402
643	9744	5386
644	9759	5371
645	9777	5357
646	9791	5341
647	9805	5326
648	9821	5312
649	9840	5298
650	9854	5283
651	9871	5269
652	9884	5252
653	9896	5235
654	9910	5220
655	9924	5204
656	9936	5187
657	9949	5171
658	9961	5154
659	9975	5139
660	9988	5122
661	9999	5105
662	10011	5088
663	10024	5072
664	10037	5056
665	10051	5040
666	10063	5023
667	10076	5008
668	10089	4992
669	10101	4975
670	10114	4959
671	10125	4942
672	10138	4926
673	10151	4909
674	10163	4893
675	10175	4876
676	10192	4862
677	10207	4847
678	10220	4831
679	10234	4816
680	10247	4799
681	10258	4783
682	10274	4768
683	10290	4753
684	10306	4739
685	10319	4723
686	10334	4708
687	10349	4693
688	10363	4677
689	10376	4661
690	10393	4647
691	10409	4632
692	10423	4617
693	10437	4601
694	10452	4587
695	10467	4571
696	10481	4556
697	10496	4541
698	10513	4527
699	10527	4511
700	10539	4495
701	10553	4480
702	10569	4465
703	10588	4451
704	10607	4438
705	10622	4423
706	10645	4411
707	10667	4399
708	10682	4384
709	10698	4369
710	10712	4354
711	10729	4339
712	10747	4326
713	10763	4311
714	10779	4296
715	10794	4281
716	10811	4267
717	10826	4252
718	10839	4236
719	10854	4221
720	10869	4206
721	10885	4191
722	10902	4177
723	10918	4162
724	10933	4147
725	10947	4131
726	10962	4116
727	10977	4101
728	10991	4085
729	11008	4071
730	11026	4057
731	11039	4041
732	11051	4025
733	11065	4010
734	11079	3994
735	11094	3979
736	11109	3964
737	11124	3949
738	11138	3934
739	11151	3917
740	11165	3902
741	11178	3886
742	11195	3872
743	11214	3858
744	11229	3843
745	11244	3828
746	11259	3813
747	11275	3798
748	11291	3783
749	11306	3768
750	11317	3752
751	11331	3737
752	11349	3722
753	11364	3707
754	11378	3692
755	11394	3677
756	11409	3662
757	11425	3647
758	11440	3632
759	11459	3618
760	11473	3603
761	11485	3587
762	11498	3571
763	11514	3556
764	11530	3541
765	11545	3526
766	11561	3512
767	11577	3497
768	11590	3481
769	11604	3466
770	11616	3450
771	11628	3434
772	11641	3418
773	11654	3402
774	11667	3387
775	11679	3371
776	11692	3355
777	11705	3340
778	11717	3324
779	11728	3308
780	11743	3292
781	11756	3277
782	11771	3262
783	11786	3247
784	11801	3232
785	11815	3217
786	11828	3201
787	11841	3185
788	11856	3170
789	11868	3155
790	11885	3140
791	11897	3124
792	11909	3108
793	11925	3094
794	11939	3078
795	11954	3063
796	11969	3048
797	11986	3034
798	12003	3019
799	12017	3004
800	12030	2988
801	12042	2973
802	12057	2958
803	12072	2942
804	12087	2927
805	12102	2912
806	12118	2898
807	12132	2883
808	12148	2868
809	12162	2853
810	12174	2837
811	12188	2822
812	12203	2807
813	12220	2792
814	12233	2777
815	12248	2761
816	12262	2746
817	12274	2730
818	12289	2715
819	12306	2701
820	12320	2686
821	12334	2670
822	12347	2655
823	12361	2640
824	12373	2624
825	12387	2609
826	12401	2594
827	12415	2579
828	12430	2563
829	12443	2548
830	12454	2532
831	12469	2517
832	12483	2502
833	12497	2487
834	12512	2472
835	12526	2457
836	12544	2442
837	12557	2427
838	12568	2411
839	12583	2396
840	12598	2381
841	12613	2366
842	12627	2351
843	12642	2336
844	12658	2322
845	12670	2306
846	12685	2291
847	12700	2276
848	12717	2261
849	12731	2246
850	12746	2231
851	12762	2216
852	12778	2202
853	12793	2187
854	12806	2171
855	12818	2156
856	12833	2141
857	12848	2126
858	12863	2111
859	12879	2096
860	12893	2081
861	12909	2066
862	12923	2051
863	12938	2036
864	12950	2021
865	12966	2006
866	12982	1991
867	12997	1976
868	13011	1961
869	13025	1946
870	13041	1931
871	13056	1916
872	13072	1901
873	13088	1886
874	13100	1871
875	13112	1856
876	13126	1841
877	13142	1826
878	13158	1811
879	13174	1796
880	13189	1781
881	13203	1766
882	13215	1751
883	13228	1735
884	13241	1720
885	13255	1705
886	13268	1690
887	13281	1675
888	13293	1659
889	13305	1644
890	13318	1629
891	13329	1613
892	13342	1598
893	13355	1583
894	13367	1568
895	13378	1552
896	13391	1537
897	13404	1522
898	13416	1507
899	13428	1492
900	13441	1476
901	13453	1461
902	13467	1446
903	13479	1431
904	13492	1416
905	13505	1401
906	13518	1386
907	13531	1371
908	13544	1355
909	13555	1340
910	13572	1325
911	13587	1311
912	13603	1296
913	13617	1281
914	13630	1266
915	13644	1251
916	13656	1236
917	13671	1221
918	13687	1206
919	13703	1191
920	13719	1176
921	13733	1161
922	13748	1146
923	13764	1132
924	13780	1117
925	13794	1102
926	13806	1087
927	13824	1072
928	13838	1057
929	13854	1042
930	13868	1027
931	13882	1012
932	13897	997
933	13912	983
934	13925	968
935	13937	953
936	13953	938
937	13969	923
938	13983	908
939	13997	893
940	14010	878
941	14022	863
942	14036	848
943	14049	833
944	14063	818
945	14076	803
946	14088	788
947	14101	773
948	14116	758
949	14130	743
950	14144	728
951	14157	713
952	14169	698
953	14183	683
954	14197	668
955	14211	654
956	14226	639
957	14242	624
958	14255	609
959	14268	594
960	14283	579
961	14296	564
962	14311	549
963	14325	534
964	14338	520
965	14353	505
966	14365	490
967	14382	475
968	14397	460
969	14412	445
970	14427	430
971	14441	416
972	14457	401
973	14471	386
974	14482	371
975	14497	356
976	14511	341
977	14528	326
978	14543	311
979	14558	297
980	14573	282
981	14587	267
982	14600	252
983	14612	237
984	14628	222
985	14643	207
986	14657	193
987	14673	178
988	14688	163
989	14701	148
990	14712	133
991	14728	118
992	14744	103
993	14759	89
994	14777	74
995	14800	59
996	14815	44
997	14828	29
998	14843	14
999	14858	0
